area,avgPrice,color,entertime,market,maxPrice,minPrice,name,province,standard,time,typy,unit
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-23,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-22,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-20,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-08,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-07,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-06,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-03,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-02,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-01,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-07-31,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-25,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-24,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-16,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-08,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-03,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-02,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-28,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-27,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-26,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-24,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-20,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-19,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-16,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-12,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-08,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-01-09,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-01-06,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-01-04,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-01-03,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-04-12,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-04-11,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-04-10,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-04-05,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-31,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-30,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-29,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-21,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-20,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-17,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-09,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-07,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-03,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-03-02,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-02-27,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-02-23,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-02-22,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-02-20,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-02-17,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-02-15,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-02-14,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-02-13,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-02-08,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-01-13,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-01-12,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-08-21,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-07-28,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-07-27,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-07-26,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-07-24,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-07-12,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-06-30,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-06-15,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-06-12,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-06-08,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-06-01,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-05-31,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-05-22,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-05-17,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-05-15,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-05-12,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-05-08,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-05-05,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-05-04,蔬菜,元/斤
东北,3.05,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-05-03,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-04-20,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-04-18,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-04-17,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-04-14,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-04-13,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-12-19,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-12-13,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-12-12,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-12-11,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-12-07,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-11-22,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-11-21,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-11-20,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-11-08,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-11-07,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-11-06,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-11-03,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-11-02,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-11-01,蔬菜,元/斤
东北,2.70,none,2018-08-28,吉林扶余三井子杂粮批发市场,2.80,0.00,豇豆,吉林,none,2017-10-20,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-10-16,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-10-12,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-10-09,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-09-27,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-09-22,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-09-21,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-09-20,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-09-19,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-09-08,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-08-29,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-03-28,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-03-27,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-03-23,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-03-22,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-03-19,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-03-13,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-03-08,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-03-06,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-03-05,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-02-28,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-02-22,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-02-09,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-02-06,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-02-05,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-02-02,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-02-01,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-01-31,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-01-26,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-01-24,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-01-19,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-01-11,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-01-10,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-01-04,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-12-28,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2017-12-26,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-23,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-22,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-20,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-08,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-07,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-06,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-03,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-02,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-08-01,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-07-31,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-25,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-24,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-16,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-08,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-03,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-05-02,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-28,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-27,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-26,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-24,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-20,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-19,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-16,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-12,蔬菜,元/斤
东北,3.20,none,2018-08-28,吉林扶余三井子杂粮批发市场,3.30,0.00,豇豆,吉林,none,2018-04-08,蔬菜,元/斤
